Ping: 00:06:66:4D:F4:AE from 00:15:83:0C:BF:EB (data size 44) ...
4 bytes from 00:06:66:4D:F4:AE id 0 time 30.91ms
4 bytes from 00:06:66:4D:F4:AE id 1 time 23.87ms
4 bytes from 00:06:66:4D:F4:AE id 2 time 30.90ms
4 bytes from 00:06:66:4D:F4:AE id 3 time 31.85ms
4 bytes from 00:06:66:4D:F4:AE id 4 time 27.87ms
4 bytes from 00:06:66:4D:F4:AE id 5 time 40.88ms
4 bytes from 00:06:66:4D:F4:AE id 6 time 23.88ms
4 bytes from 00:06:66:4D:F4:AE id 7 time 25.88ms
4 bytes from 00:06:66:4D:F4:AE id 8 time 31.88ms
4 bytes from 00:06:66:4D:F4:AE id 9 time 25.88ms
4 bytes from 00:06:66:4D:F4:AE id 10 time 33.90ms
4 bytes from 00:06:66:4D:F4:AE id 11 time 17.88ms
4 bytes from 00:06:66:4D:F4:AE id 12 time 29.89ms
4 bytes from 00:06:66:4D:F4:AE id 13 time 29.88ms
4 bytes from 00:06:66:4D:F4:AE id 14 time 30.91ms
4 bytes from 00:06:66:4D:F4:AE id 15 time 11.88ms
4 bytes from 00:06:66:4D:F4:AE id 16 time 21.89ms
4 bytes from 00:06:66:4D:F4:AE id 17 time 11.88ms
4 bytes from 00:06:66:4D:F4:AE id 18 time 23.87ms
4 bytes from 00:06:66:4D:F4:AE id 19 time 30.88ms
4 bytes from 00:06:66:4D:F4:AE id 20 time 26.91ms
4 bytes from 00:06:66:4D:F4:AE id 21 time 8.88ms
4 bytes from 00:06:66:4D:F4:AE id 22 time 25.87ms
4 bytes from 00:06:66:4D:F4:AE id 23 time 29.88ms
4 bytes from 00:06:66:4D:F4:AE id 24 time 30.88ms
4 bytes from 00:06:66:4D:F4:AE id 25 time 27.87ms
4 bytes from 00:06:66:4D:F4:AE id 26 time 17.88ms
4 bytes from 00:06:66:4D:F4:AE id 27 time 7.88ms
4 bytes from 00:06:66:4D:F4:AE id 28 time 27.88ms
4 bytes from 00:06:66:4D:F4:AE id 29 time 31.88ms
4 bytes from 00:06:66:4D:F4:AE id 30 time 33.88ms
4 bytes from 00:06:66:4D:F4:AE id 31 time 25.88ms
32 sent, 32 received, 0% loss
